PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
10,1,2,female,14.0,1,0,237736,30.0708,,C
165,0,3,male,1.0,4,1,3101295,39.6875,,S
50,0,3,female,18.0,1,0,349237,17.8,,S
510,1,3,male,26.0,0,0,1601,56.4958,,S
461,1,1,male,48.0,0,0,19952,26.55,E12,S
741,1,1,male,,0,0,16988,30.0,D45,S
829,1,3,male,,0,0,367228,7.75,,Q
593,0,3,male,47.0,0,0,A/5 3902,7.25,,S
681,0,3,female,,0,0,330935,8.1375,,Q
190,0,3,male,36.0,0,0,349247,7.8958,,S
43,0,3,male,,0,0,349253,7.8958,,C
532,0,3,male,,0,0,2641,7.2292,,C
620,0,2,male,26.0,0,0,31028,10.5,,S
778,1,3,female,5.0,0,0,364516,12.475,,S
595,0,2,male,37.0,1,0,SC/AH 29037,26.0,,S
689,0,3,male,18.0,0,0,350036,7.7958,,S
614,0,3,male,,0,0,370377,7.75,,Q
853,0,3,female,9.0,1,1,2678,15.2458,,C
375,0,3,female,3.0,3,1,349909,21.075,,S
801,0,2,male,34.0,0,0,250647,13.0,,S
174,0,3,male,21.0,0,0,STON/O 2. 3101280,7.925,,S
329,1,3,female,31.0,1,1,363291,20.525,,S
464,0,2,male,48.0,0,0,234360,13.0,,S
588,1,1,male,60.0,1,1,13567,79.2,B41,C
265,0,3,female,,0,0,382649,7.75,,Q
383,0,3,male,32.0,0,0,STON/O 2. 3101293,7.925,,S
824,1,3,female,27.0,0,1,392096,12.475,E121,S
739,0,3,male,,0,0,349201,7.8958,,S
65,0,1,male,,0,0,PC 17605,27.7208,,C
843,1,1,female,30.0,0,0,113798,31.0,,C
487,1,1,female,35.0,1,0,19943,90.0,C93,S
628,1,1,female,21.0,0,0,13502,77.9583,D9,S
144,0,3,male,19.0,0,0,365222,6.75,,Q
81,0,3,male,22.0,0,0,345767,9.0,,S
508,1,1,male,,0,0,111427,26.55,,S
471,0,3,male,,0,0,323592,7.25,,S
750,0,3,male,31.0,0,0,335097,7.75,,Q
83,1,3,female,,0,0,330932,7.7875,,Q
233,0,2,male,59.0,0,0,237442,13.5,,S
339,1,3,male,45.0,0,0,7598,8.05,,S
33,1,3,female,,0,0,335677,7.75,,Q
2,1,1,female,38.0,1,0,PC 17599,71.2833,C85,C
549,0,3,male,33.0,1,1,363291,20.525,,S
129,1,3,female,,1,1,2668,22.3583,F E69,C
795,0,3,male,25.0,0,0,349203,7.8958,,S
88,0,3,male,,0,0,SOTON/OQ 392086,8.05,,S
208,1,3,male,26.0,0,0,2699,18.7875,,C
730,0,3,female,25.0,1,0,STON/O2. 3101271,7.925,,S
122,0,3,male,,0,0,A4. 54510,8.05,,S
724,0,2,male,50.0,0,0,250643,13.0,,S
766,1,1,female,51.0,1,0,13502,77.9583,D11,S
381,1,1,female,42.0,0,0,PC 17757,227.525,,C
307,1,1,female,,0,0,17421,110.8833,,C
288,0,3,male,22.0,0,0,349206,7.8958,,S
491,0,3,male,,1,0,65304,19.9667,,S
810,1,1,female,33.0,1,0,113806,53.1,E8,S
562,0,3,male,40.0,0,0,349251,7.8958,,S
163,0,3,male,26.0,0,0,347068,7.775,,S
697,0,3,male,44.0,0,0,363592,8.05,,S
646,1,1,male,48.0,1,0,PC 17572,76.7292,D33,C
550,1,2,male,8.0,1,1,C.A. 33112,36.75,,S
817,0,3,female,23.0,0,0,STON/O2. 3101290,7.925,,S
192,0,2,male,19.0,0,0,28424,13.0,,S
649,0,3,male,,0,0,S.O./P.P. 751,7.55,,S
618,0,3,female,26.0,1,0,A/5. 3336,16.1,,S
112,0,3,female,14.5,1,0,2665,14.4542,,C
416,0,3,female,,0,0,343095,8.05,,S
613,1,3,female,,1,0,367230,15.5,,Q
245,0,3,male,30.0,0,0,2694,7.225,,C
128,1,3,male,24.0,0,0,C 17369,7.1417,,S
573,1,1,male,36.0,0,0,PC 17474,26.3875,E25,S
873,0,1,male,33.0,0,0,695,5.0,B51 B53 B55,S
58,0,3,male,28.5,0,0,2697,7.2292,,C
514,1,1,female,54.0,1,0,PC 17603,59.4,,C
324,1,2,female,22.0,1,1,248738,29.0,,S
237,0,2,male,44.0,1,0,26707,26.0,,S
91,0,3,male,29.0,0,0,343276,8.05,,S
16,1,2,female,55.0,0,0,248706,16.0,,S
528,0,1,male,,0,0,PC 17483,221.7792,C95,S
647,0,3,male,19.0,0,0,349231,7.8958,,S
313,0,2,female,26.0,1,1,250651,26.0,,S
186,0,1,male,,0,0,113767,50.0,A32,S
398,0,2,male,46.0,0,0,28403,26.0,,S
12,1,1,female,58.0,0,0,113783,26.55,C103,S
867,1,2,female,27.0,1,0,SC/PARIS 2149,13.8583,,C
64,0,3,male,4.0,3,2,347088,27.9,,S
368,1,3,female,,0,0,2626,7.2292,,C
696,0,2,male,52.0,0,0,248731,13.5,,S
291,1,1,female,26.0,0,0,19877,78.85,,S
132,0,3,male,20.0,0,0,SOTON/O.Q. 3101307,7.05,,S
875,1,2,female,28.0,1,0,P/PP 3381,24.0,,C
806,0,3,male,31.0,0,0,347063,7.775,,S
630,0,3,male,,0,0,334912,7.7333,,Q
787,1,3,female,18.0,0,0,3101265,7.4958,,S
571,1,2,male,62.0,0,0,S.W./PP 752,10.5,,S
623,1,3,male,20.0,1,1,2653,15.7417,,C
682,1,1,male,27.0,0,0,PC 17572,76.7292,D49,C
49,0,3,male,,2,0,2662,21.6792,,C
166,1,3,male,9.0,0,2,363291,20.525,,S
421,0,3,male,,0,0,349254,7.8958,,C
